ResumeIndex,ResumeDomain,MatchedJobDomain,Similarity
166,Manufacturing & Construction,Finance & Accounting,0.7434887
167,Other Services,Finance & Accounting,0.5441357
168,Manufacturing & Construction,Creative & Design,0.6607522
169,Manufacturing & Construction,Tech & IT,0.69243217
170,Creative & Design,Creative & Design,0.7477782
171,Manufacturing & Construction,Creative & Design,0.67727613
172,Manufacturing & Construction,Tech & IT,0.59194803
173,Creative & Design,Finance & Accounting,0.6531676
174,HR & Operations,Finance & Accounting,0.6395217
175,Manufacturing & Construction,Finance & Accounting,0.641441
176,Creative & Design,Creative & Design,0.6837481
177,Manufacturing & Construction,Creative & Design,0.61119366
178,Creative & Design,Creative & Design,0.7626941
179,Creative & Design,Creative & Design,0.5906682
180,Other Services,Finance & Accounting,0.7311055
181,Manufacturing & Construction,Finance & Accounting,0.5943877
182,Creative & Design,Creative & Design,0.61742723
183,Other Services,Finance & Accounting,0.5241352
184,Manufacturing & Construction,Finance & Accounting,0.66652
185,Manufacturing & Construction,Tech & IT,0.6705711
186,Creative & Design,Creative & Design,0.6573709
187,Other Services,Finance & Accounting,0.695774
188,Creative & Design,Creative & Design,0.72672963
189,Tech & IT,Creative & Design,0.66899097
190,Creative & Design,Creative & Design,0.6806285
191,Creative & Design,Creative & Design,0.54513097
192,Creative & Design,Creative & Design,0.7217875
193,Other Services,Creative & Design,0.6892532
194,Education,Finance & Accounting,0.70161366
195,Manufacturing & Construction,Finance & Accounting,0.6995688
196,Manufacturing & Construction,Creative & Design,0.7758396
197,Creative & Design,Creative & Design,0.7632585
198,Creative & Design,Creative & Design,0.64983374
199,Tech & IT,Tech & IT,0.75034684
200,Creative & Design,Creative & Design,0.6931689
201,Creative & Design,Creative & Design,0.6696372
202,Creative & Design,Creative & Design,0.66649115
203,Creative & Design,Finance & Accounting,0.615675
204,Other Services,Finance & Accounting,0.7064011
205,Creative & Design,Finance & Accounting,0.6756574
206,Creative & Design,Creative & Design,0.78975606
207,Manufacturing & Construction,Finance & Accounting,0.49993533
208,Creative & Design,Creative & Design,0.74932396
209,Education,Creative & Design,0.7532695
210,Creative & Design,Creative & Design,0.65548325
211,Creative & Design,Creative & Design,0.6708649
212,Other Services,Finance & Accounting,0.6793831
213,Manufacturing & Construction,Tech & IT,0.62176806
214,Creative & Design,Creative & Design,0.63925695
215,Creative & Design,Creative & Design,0.5371149
216,HR & Operations,Finance & Accounting,0.6371972
217,Tech & IT,Tech & IT,0.79367274
218,Tech & IT,Tech & IT,0.7498673
219,HR & Operations,Finance & Accounting,0.7287887
220,Education,Tech & IT,0.6297082
221,Tech & IT,Tech & IT,0.74368525
222,Tech & IT,Tech & IT,0.7177193
223,Finance & Accounting,Finance & Accounting,0.7890561
224,Tech & IT,Finance & Accounting,0.701679
225,Tech & IT,Finance & Accounting,0.74719834
226,Tech & IT,Tech & IT,0.7621577
227,Tech & IT,Finance & Accounting,0.69035745
228,Healthcare,Finance & Accounting,0.73845756
229,Tech & IT,Tech & IT,0.7473156
230,Tech & IT,Finance & Accounting,0.7680211
231,Tech & IT,Finance & Accounting,0.7293472
232,Tech & IT,Tech & IT,0.72977865
233,Tech & IT,Finance & Accounting,0.7766371
234,Tech & IT,Finance & Accounting,0.76857805
235,Finance & Accounting,Finance & Accounting,0.81169605
236,Tech & IT,Finance & Accounting,0.7761992
237,Tech & IT,Tech & IT,0.68859696
238,Tech & IT,Finance & Accounting,0.7320996
239,Tech & IT,Finance & Accounting,0.72189283
240,Creative & Design,Finance & Accounting,0.64477754
241,Tech & IT,Finance & Accounting,0.7401698
242,Tech & IT,Tech & IT,0.7344577
243,Tech & IT,Tech & IT,0.7890315
244,Tech & IT,Finance & Accounting,0.64819777
245,Tech & IT,Finance & Accounting,0.7828816
246,Other Services,Finance & Accounting,0.77723044
247,Tech & IT,Tech & IT,0.74352145
248,Tech & IT,Finance & Accounting,0.76015574
249,Tech & IT,Tech & IT,0.641976
250,Tech & IT,Finance & Accounting,0.73231244
251,Tech & IT,Finance & Accounting,0.7369565
252,Healthcare,Finance & Accounting,0.65553576
253,Tech & IT,Tech & IT,0.78746474
254,Tech & IT,Tech & IT,0.8033935
255,Tech & IT,Tech & IT,0.708548
256,Education,Creative & Design,0.55120504
257,Tech & IT,Finance & Accounting,0.67762744
258,Tech & IT,Tech & IT,0.746967
259,Tech & IT,Tech & IT,0.74175733
260,Tech & IT,Finance & Accounting,0.6483001
261,Tech & IT,Finance & Accounting,0.74880815
262,Tech & IT,Finance & Accounting,0.7783891
263,Tech & IT,Tech & IT,0.667806
264,Tech & IT,Finance & Accounting,0.633119
265,Tech & IT,Finance & Accounting,0.7874813
266,Finance & Accounting,Finance & Accounting,0.7839745
267,Finance & Accounting,Finance & Accounting,0.7769313
268,Tech & IT,Tech & IT,0.68207717
269,Tech & IT,Finance & Accounting,0.72566944
270,Tech & IT,Finance & Accounting,0.7791941
271,Tech & IT,Tech & IT,0.61838216
272,Tech & IT,Finance & Accounting,0.7221169
273,Tech & IT,Finance & Accounting,0.6563524
274,Tech & IT,Finance & Accounting,0.7494879
275,Tech & IT,Tech & IT,0.7323548
276,Tech & IT,Tech & IT,0.80198514
277,Tech & IT,Tech & IT,0.7329799
278,Tech & IT,Tech & IT,0.76710284
279,Tech & IT,Tech & IT,0.6869422
280,Tech & IT,Tech & IT,0.8461034
281,Tech & IT,Tech & IT,0.81256473
282,Tech & IT,Tech & IT,0.74305934
283,Tech & IT,Finance & Accounting,0.7358983
284,Healthcare,Finance & Accounting,0.7336645
285,HR & Operations,Finance & Accounting,0.7446667
286,Tech & IT,Finance & Accounting,0.7827585
287,Finance & Accounting,Finance & Accounting,0.72603786
288,Tech & IT,Finance & Accounting,0.82526183
289,Tech & IT,Tech & IT,0.72881997
290,Tech & IT,Finance & Accounting,0.78016
291,Tech & IT,Tech & IT,0.80302715
292,Finance & Accounting,Finance & Accounting,0.67523026
293,Tech & IT,Finance & Accounting,0.77015114
294,Tech & IT,Finance & Accounting,0.7742399
295,Tech & IT,Finance & Accounting,0.6873597
296,Tech & IT,Tech & IT,0.74996173
297,Tech & IT,Tech & IT,0.79439056
298,Tech & IT,Tech & IT,0.5134814
299,Tech & IT,Tech & IT,0.7058855
300,Tech & IT,Tech & IT,0.75953525
301,Tech & IT,Finance & Accounting,0.7734132
302,Finance & Accounting,Finance & Accounting,0.7493298
303,Tech & IT,Finance & Accounting,0.74875313
304,Tech & IT,Tech & IT,0.80975497
305,Tech & IT,Tech & IT,0.6506585
306,HR & Operations,Finance & Accounting,0.77233744
307,Other Services,Finance & Accounting,0.7407978
308,Tech & IT,Tech & IT,0.7310363
309,Tech & IT,Tech & IT,0.8097744
310,Tech & IT,Finance & Accounting,0.6313255
311,Tech & IT,Tech & IT,0.7940061
312,HR & Operations,Finance & Accounting,0.6274353
313,HR & Operations,Finance & Accounting,0.6585662
314,Tech & IT,Tech & IT,0.7612051
315,Manufacturing & Construction,Tech & IT,0.687522
316,Tech & IT,Tech & IT,0.8057323
317,Tech & IT,Finance & Accounting,0.79030466
318,Finance & Accounting,Finance & Accounting,0.7295258
319,Tech & IT,Tech & IT,0.7537726
320,Healthcare,Finance & Accounting,0.45313835
321,Tech & IT,Tech & IT,0.6664566
322,Healthcare,Finance & Accounting,0.75835216
323,Tech & IT,Tech & IT,0.7479092
324,Tech & IT,Tech & IT,0.66879547
325,Healthcare,Finance & Accounting,0.74085283
326,Tech & IT,Finance & Accounting,0.7907302
327,Tech & IT,Tech & IT,0.73209584
328,Healthcare,Finance & Accounting,0.62160766
329,Finance & Accounting,Finance & Accounting,0.8065165
330,Tech & IT,Finance & Accounting,0.8199911
331,Finance & Accounting,Finance & Accounting,0.7178674
332,Tech & IT,Finance & Accounting,0.77290154
333,Tech & IT,Finance & Accounting,0.68598175
334,Tech & IT,Finance & Accounting,0.7577882
335,Tech & IT,Tech & IT,0.7550536
336,HR & Operations,Finance & Accounting,0.71572137
337,Education,Finance & Accounting,0.5530429
338,Education,Finance & Accounting,0.6081843
339,Education,Finance & Accounting,0.44053468
340,Healthcare,Finance & Accounting,0.682065
341,Education,Finance & Accounting,0.50628895
342,Education,Finance & Accounting,0.4991231
343,Education,Finance & Accounting,0.535244
344,Education,Finance & Accounting,0.5423933
345,Education,Finance & Accounting,0.6064856
346,Education,Finance & Accounting,0.4908838
347,Education,Finance & Accounting,0.5221362
348,Education,Finance & Accounting,0.6752301
349,Education,Finance & Accounting,0.55327076
350,Education,Finance & Accounting,0.5766932
351,Education,Finance & Accounting,0.6114834
352,Education,Finance & Accounting,0.40734735
353,Education,Creative & Design,0.42129824
354,Education,Finance & Accounting,0.68169415
355,Education,Creative & Design,0.54817855
356,Education,Creative & Design,0.5405774
357,Education,Finance & Accounting,0.52092445
358,Healthcare,Finance & Accounting,0.50452256
359,Education,Finance & Accounting,0.45069987
360,Education,Finance & Accounting,0.40968847
361,Education,Finance & Accounting,0.5728345
362,Education,Finance & Accounting,0.6256326
363,Education,Finance & Accounting,0.4408133
364,Education,Finance & Accounting,0.49369186
365,Education,Finance & Accounting,0.5700307
366,Education,Finance & Accounting,0.5828824
367,Education,Finance & Accounting,0.5233784
368,Education,Creative & Design,0.56187963
369,Education,Finance & Accounting,0.5300797
370,Education,Finance & Accounting,0.6467101
371,Hospitality & Food,Finance & Accounting,0.41239455
372,Education,Finance & Accounting,0.5766043
373,Healthcare,Finance & Accounting,0.5949247
374,Education,Finance & Accounting,0.4686339
375,Education,Creative & Design,0.5094445
376,Education,Creative & Design,0.58656013
377,Education,Creative & Design,0.5194421
378,Education,Finance & Accounting,0.58129793
379,Education,Finance & Accounting,0.5919987
380,Education,Finance & Accounting,0.6291461
381,Education,Finance & Accounting,0.55405813
382,Education,Finance & Accounting,0.6316173
383,Education,Finance & Accounting,0.60203785
384,Education,Finance & Accounting,0.5149611
385,Education,Creative & Design,0.51005
386,Education,Creative & Design,0.55570114
387,Education,Finance & Accounting,0.5766193
388,Education,Finance & Accounting,0.5730159
389,Education,Finance & Accounting,0.4751845
390,Education,Creative & Design,0.48582292
391,Education,Finance & Accounting,0.5486363
392,Education,Finance & Accounting,0.6684969
393,Education,Finance & Accounting,0.5441116
394,Education,Finance & Accounting,0.6572086
395,Education,Finance & Accounting,0.55093503
396,Education,Finance & Accounting,0.59787405
397,Education,Finance & Accounting,0.5498427
398,Education,Finance & Accounting,0.6027157
399,Education,Finance & Accounting,0.5399057
400,Education,Finance & Accounting,0.4888738
401,Education,Finance & Accounting,0.5974943
402,Education,Finance & Accounting,0.5997493
403,Healthcare,Finance & Accounting,0.48156655
404,Education,Creative & Design,0.5160936
405,Education,Finance & Accounting,0.51432085
406,Education,Finance & Accounting,0.5882499
407,Creative & Design,Creative & Design,0.56598604
408,Education,Finance & Accounting,0.5381493
409,Education,Creative & Design,0.584652
410,Education,Finance & Accounting,0.55774367
411,Education,Creative & Design,0.4455731
412,Education,Creative & Design,0.50286734
413,Education,Finance & Accounting,0.5426216
414,Education,Finance & Accounting,0.61113
415,Education,Finance & Accounting,0.49787012
416,Education,Finance & Accounting,0.518012
417,Education,Finance & Accounting,0.44402036
418,Education,Finance & Accounting,0.547264
419,Education,Finance & Accounting,0.6115558
420,Education,Finance & Accounting,0.7228137
421,Education,Finance & Accounting,0.6584261
422,Education,Finance & Accounting,0.5055902
423,Education,Finance & Accounting,0.55271256
424,Education,Finance & Accounting,0.5789115
425,Education,Finance & Accounting,0.56880033
426,Education,Creative & Design,0.50401074
427,Education,Finance & Accounting,0.62605906
428,Education,Finance & Accounting,0.39820135
429,Education,Finance & Accounting,0.49297395
430,Education,Finance & Accounting,0.48814982
431,Education,Finance & Accounting,0.51181257
432,Education,Creative & Design,0.5304724
433,Education,Finance & Accounting,0.61775684
434,Education,Finance & Accounting,0.596843
435,Education,Finance & Accounting,0.566573
436,Education,Creative & Design,0.5744175
437,Education,Finance & Accounting,0.5189618
438,Education,Tech & IT,0.679106
439,Healthcare,Finance & Accounting,0.45868093
440,Healthcare,Finance & Accounting,0.721244
441,HR & Operations,Finance & Accounting,0.7039179
442,Education,Finance & Accounting,0.5175673
443,Healthcare,Finance & Accounting,0.63533455
444,Healthcare,Finance & Accounting,0.52545995
445,Other Services,Finance & Accounting,0.72453463
446,Healthcare,Finance & Accounting,0.67556906
447,Other Services,Finance & Accounting,0.62343687
448,Education,Finance & Accounting,0.6075969
449,Healthcare,Finance & Accounting,0.61803365
450,Healthcare,Finance & Accounting,0.64905864
451,Other Services,Finance & Accounting,0.6751969
452,Healthcare,Finance & Accounting,0.49361885
453,Other Services,Finance & Accounting,0.65134275
454,Other Services,Finance & Accounting,0.6837845
455,Healthcare,Finance & Accounting,0.61017823
456,Healthcare,Finance & Accounting,0.6911925
457,Healthcare,Finance & Accounting,0.5590451
458,Healthcare,Finance & Accounting,0.67681605
459,Healthcare,Finance & Accounting,0.6297586
460,Healthcare,Finance & Accounting,0.6991726
461,Healthcare,Finance & Accounting,0.6050526
462,Healthcare,Finance & Accounting,0.5494238
463,Healthcare,Finance & Accounting,0.64735186
464,Healthcare,Finance & Accounting,0.68259156
465,Other Services,Finance & Accounting,0.73243326
466,Healthcare,Finance & Accounting,0.6074574
467,Education,Finance & Accounting,0.6060476
468,Other Services,Finance & Accounting,0.7067356
469,Healthcare,Finance & Accounting,0.4280832
470,Finance & Accounting,Finance & Accounting,0.7015234
471,Healthcare,Finance & Accounting,0.7293655
472,Education,Finance & Accounting,0.5549159
473,Other Services,Finance & Accounting,0.7573129
474,Healthcare,Finance & Accounting,0.70107543
475,Healthcare,Finance & Accounting,0.7014892
476,Tech & IT,Tech & IT,0.7237977
477,Other Services,Finance & Accounting,0.7123904
478,Other Services,Finance & Accounting,0.790872
479,Healthcare,Finance & Accounting,0.66499615
480,Healthcare,Finance & Accounting,0.64571124
481,Other Services,Finance & Accounting,0.65877926
482,Healthcare,Finance & Accounting,0.57307947
483,Finance & Accounting,Finance & Accounting,0.7760711
484,Healthcare,Finance & Accounting,0.65619516
485,Healthcare,Finance & Accounting,0.6897674
486,Finance & Accounting,Finance & Accounting,0.76784337
487,Healthcare,Finance & Accounting,0.74021566
488,Healthcare,Finance & Accounting,0.5270773
489,Other Services,Finance & Accounting,0.6619334
490,Other Services,Finance & Accounting,0.7141254
491,Healthcare,Finance & Accounting,0.59339374
492,Healthcare,Finance & Accounting,0.6038885
493,Finance & Accounting,Finance & Accounting,0.73939663
494,Healthcare,Finance & Accounting,0.66046846
495,Healthcare,Finance & Accounting,0.6133418
496,Healthcare,Finance & Accounting,0.54078865
497,Healthcare,Finance & Accounting,0.54092866
498,Healthcare,Finance & Accounting,0.66477025
499,Tech & IT,Tech & IT,0.68808687
500,Healthcare,Finance & Accounting,0.42988104
501,Other Services,Finance & Accounting,0.6520357
502,Healthcare,Finance & Accounting,0.53258145
503,Healthcare,Finance & Accounting,0.5702498
504,Other Services,Finance & Accounting,0.72691596
505,Finance & Accounting,Finance & Accounting,0.75629926
506,Other Services,Finance & Accounting,0.7160807
507,Healthcare,Finance & Accounting,0.5454315
508,Other Services,Finance & Accounting,0.7089753
509,Healthcare,Finance & Accounting,0.75096816
510,Healthcare,Finance & Accounting,0.67841613
511,Healthcare,Finance & Accounting,0.68387914
512,Healthcare,Finance & Accounting,0.70324206
513,Other Services,Finance & Accounting,0.66372263
514,Healthcare,Finance & Accounting,0.70519364
515,Finance & Accounting,Finance & Accounting,0.7379733
516,Healthcare,Finance & Accounting,0.5000901
517,Healthcare,Finance & Accounting,0.6163876
518,Healthcare,Finance & Accounting,0.37022054
519,Healthcare,Finance & Accounting,0.5624797
520,Healthcare,Finance & Accounting,0.46323603
521,Healthcare,Finance & Accounting,0.72146344
522,Healthcare,Finance & Accounting,0.6514716
523,Healthcare,Finance & Accounting,0.5519817
524,Other Services,Finance & Accounting,0.661548
525,Healthcare,Finance & Accounting,0.7474283
526,Healthcare,Finance & Accounting,0.5669652
527,Healthcare,Finance & Accounting,0.58153945
528,Healthcare,Finance & Accounting,0.53398347
529,Healthcare,Finance & Accounting,0.7242694
530,Healthcare,Finance & Accounting,0.63102734
531,HR & Operations,Finance & Accounting,0.73192954
532,Healthcare,Finance & Accounting,0.67870164
533,Finance & Accounting,Finance & Accounting,0.6725328
534,Finance & Accounting,Finance & Accounting,0.76456875
535,Healthcare,Finance & Accounting,0.4870097
536,Healthcare,Finance & Accounting,0.7270589
537,Healthcare,Finance & Accounting,0.5472668
538,HR & Operations,Finance & Accounting,0.69432247
539,Healthcare,Finance & Accounting,0.48077977
540,Creative & Design,Finance & Accounting,0.6473391
541,HR & Operations,Finance & Accounting,0.7313818
542,Creative & Design,Finance & Accounting,0.626709
543,Other Services,Finance & Accounting,0.71502423
544,Finance & Accounting,Finance & Accounting,0.76231194
545,Healthcare,Finance & Accounting,0.6011093
546,Healthcare,Finance & Accounting,0.7602458
547,Tech & IT,Tech & IT,0.63115233
548,Healthcare,Finance & Accounting,0.5158773
549,Finance & Accounting,Finance & Accounting,0.77863157
550,Healthcare,Finance & Accounting,0.52697194
551,Healthcare,Finance & Accounting,0.46713096
552,Healthcare,Finance & Accounting,0.60724884
553,Finance & Accounting,Finance & Accounting,0.7861848
554,HR & Operations,Finance & Accounting,0.7279709
555,Finance & Accounting,Finance & Accounting,0.68947494
556,Healthcare,Finance & Accounting,0.47395822
557,Finance & Accounting,Finance & Accounting,0.70111734
558,Finance & Accounting,Finance & Accounting,0.82038057
559,Finance & Accounting,Finance & Accounting,0.7303916
560,Finance & Accounting,Finance & Accounting,0.7614776
561,Finance & Accounting,Finance & Accounting,0.8085913
562,Finance & Accounting,Finance & Accounting,0.7538378
563,Finance & Accounting,Finance & Accounting,0.8063526
564,Healthcare,Finance & Accounting,0.7044113
565,Finance & Accounting,Finance & Accounting,0.73699695
566,Finance & Accounting,Finance & Accounting,0.7527041
567,Other Services,Finance & Accounting,0.72147596
568,Creative & Design,Finance & Accounting,0.70977116
569,Finance & Accounting,Finance & Accounting,0.8164876
570,Finance & Accounting,Finance & Accounting,0.8401021
571,Other Services,Finance & Accounting,0.738748
572,Other Services,Finance & Accounting,0.701448
573,Finance & Accounting,Finance & Accounting,0.760452
574,Finance & Accounting,Finance & Accounting,0.73946655
575,Creative & Design,Finance & Accounting,0.74323523
576,Finance & Accounting,Finance & Accounting,0.7015507
577,Finance & Accounting,Finance & Accounting,0.75952077
578,Finance & Accounting,Finance & Accounting,0.71953833
579,Finance & Accounting,Finance & Accounting,0.7629053
580,Finance & Accounting,Finance & Accounting,0.6938187
581,Creative & Design,Finance & Accounting,0.7553574
582,Creative & Design,Finance & Accounting,0.61420494
583,Finance & Accounting,Finance & Accounting,0.7516786
584,Finance & Accounting,Finance & Accounting,0.6339344
585,Finance & Accounting,Finance & Accounting,0.71036816
586,Finance & Accounting,Finance & Accounting,0.69995546
587,Hospitality & Food,Finance & Accounting,0.71378034
588,Finance & Accounting,Finance & Accounting,0.7952112
589,Finance & Accounting,Finance & Accounting,0.7409106
590,Finance & Accounting,Finance & Accounting,0.7759156
591,Healthcare,Finance & Accounting,0.6647965
592,Finance & Accounting,Finance & Accounting,0.678232
593,Finance & Accounting,Finance & Accounting,0.7619722
594,Finance & Accounting,Finance & Accounting,0.7412678
595,Finance & Accounting,Finance & Accounting,0.76653284
596,Finance & Accounting,Finance & Accounting,0.73449796
597,Finance & Accounting,Finance & Accounting,0.7704736
598,Finance & Accounting,Finance & Accounting,0.7013999
599,Healthcare,Finance & Accounting,0.6683738
600,Creative & Design,Finance & Accounting,0.736125
601,Finance & Accounting,Finance & Accounting,0.8095339
602,Finance & Accounting,Finance & Accounting,0.74695134
603,Finance & Accounting,Finance & Accounting,0.7860217
604,Creative & Design,Finance & Accounting,0.6863775
605,Finance & Accounting,Finance & Accounting,0.7036408
606,Finance & Accounting,Finance & Accounting,0.70504725
607,Creative & Design,Finance & Accounting,0.6567127
608,Finance & Accounting,Finance & Accounting,0.6897528
